ACCIPITER STRIATUS
ACROPTERNIS ORTHONYX
ADELOMYIA MELANOGENYS
AGAMIA AGAMI
AGLAEACTIS CUPRIPENNIS
AGLAIOCERCUS KINGII
AMAZONA AMAZONICA
AMAZONA AUTUMNALIS
AMAZONA FARINOSA
AMBLYCERCUS HOLOSERICEUS
AMMODRAMUS HUMERALIS
AMPELION RUBROCRISTATUS
AMPELION RUFAXILLA
ANARHYNCHUS COLLARIS
ANAS ANDIUM
ANAS PLATYRHYNCHOS
ANDIGENA HYPOGLAUCA
ANDIGENA NIGRIROSTRIS
ANISOGNATHUS IGNIVENTRIS
ANISOGNATHUS LACRYMOSUS
ANISOGNATHUS SOMPTUOSUS
ANSER ALBIFRONS
ANSER ANSER
ANTHOCEPHALA BERLEPSCHI
ANTHRACOTHORAX NIGRICOLLIS
ANTROSTOMUS CAROLINENSIS
ARA ARARAUNA
ARA CHLOROPTERUS
ARA MILITARIS
ARA SEVERUS
ARAMUS GUARAUNA
ARDEA COCOI
ARDEA HERODIAS
ARDEA IBIS
ARREMON ASSIMILIS
ARREMON AURANTIIROSTRIS
ARREMONOPS CONIROSTRIS
ASIO FLAMMEUS
ASIO STYGIUS
ASTHENES FLAMMULATA
ASTHENES FULIGINOSA
ASTUR BICOLOR
ASTUR COOPERII
ATALOTRICCUS PILARIS
ATHENE CUNICULARIA
ATLAPETES ALBINUCHA
ATLAPETES LATINUCHUS
ATLAPETES PALLIDINUCHA
ATLAPETES SCHISTACEUS
ATTILA SPADICEUS
AULACORHYNCHUS HAEMATOPYGUS
AYTHYA AFFINIS
BARTRAMIA LONGICAUDA
BARYPHTHENGUS MARTII
BASILEUTERUS DELATTRII
BASILEUTERUS TRISTRIATUS
BOISSONNEAUA FLAVESCENS
BOTAURUS EXILIS
BUHO VIRGINIANUS
BUSARELLUS NIGRICOLLIS
BUTEO ALBONOTATUS
BUTEO BRACHYURUS
BUTEO NITIDUS
BUTEO PLATYPTERUS
BUTEO SWAINSONI
BUTEOGALLUS ANTHRACINUS
BUTEOGALLUS MERIDIONALIS
BUTEOGALLUS URUBITINGA
BUTHRAUPIS MONTANA
BUTORIDES STRIATA
BUTORIDES VIRESCENS
CACICUS CHRYSONOTUS
CACICUS UROPYGIALIS
CAIRINA MOSCHATA
CALIDRIS BAIRDII
CALIDRIS MAURI
CALIDRIS MINUTILLA
CALINDRIS MELANOTOS
CAMPEPHILUS MELANOLEUCOS
CAMPEPHILUS POLLENS
CAMPTOSTOMA OBSOLETUM
CAMPYLORHAMPHUS TROCHILIROSTRIS
CAMPYLORHYNCHUS ZONATUS
CANTORCHILUS LEUCOTIS
CANTORCHILUS NIGRICAPILLUS
CAPITO HYPOLEUCUS
CAPSIEMPIS FLAVEOLA
CARDELLINA CANADENSIS
CATAMBLYRHYNCHUS DIADEMA
CATAMENIA ANALIS
CATAMENIA HOMOCHROA
CATAMENIA INOMATA
CATHARTES BURROVIANUS
CATHARUS AURANTIIROSTRIS
CATHARUS FUSCATER
CATHARUS FUSCESCENS
CATHARUS MINIMUS
CELEUS LORICATUS
CERATOPIPRA ERYTHROCEPHALA
CERCOMACROIDES TYRANNINA
